Unnamed: 4,Opgave,kategori_total,Timer,Salgspris,Unnamed: 15,Unnamed: 19,Takst,Unnamed: 2,UE påslag,Underentreprenør | UE,Unnamed: 14,Unnamed: 3,Unnamed: 17,Unnamed: 16,kategori,Materialer,Unnamed: 0,Unnamed: 18,UE,Tilbud,Påslag
6000,Projektledelse og administration,16749.5,nan,nan,nan,nan,nan,nan,nan,,6000,Bnord,nan,nan,Projekt,nan,nan,nan,nan,6000.0,nan
nan,Affald,16749.5,nan,5750,nan,nan,nan,nan,0.15,5000.0,5750,HC,nan,nan,Projekt,nan,nan,nan,5000,5750.0,nan
330,Slutrengøring,16749.5,2,nan,nan,nan,585,nan,nan,,1500,Bnord,nan,nan,Projekt,nan,nan,nan,nan,1500.0,nan
122,"Rengøring af trapper, 4 gange",16749.5,1.5,nan,nan,nan,585,nan,nan,,999.5,Bnord,nan,nan,Projekt,nan,nan,nan,nan,999.5,nan
2500,Parkering,16749.5,nan,nan,nan,nan,nan,nan,nan,,2500,Bnord,nan,nan,Projekt,nan,nan,nan,nan,2500.0,nan
nan,Det forudsættes at der er toilet i ejendommen som vi kan benytte,16749.5,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,Projekt,nan,nan,nan,nan,,nan
nan,Nedrivning af loft og rørkasse i loft,12477.499999999998,4,nan,nan,nan,402.49999999999994,nan,nan,,1609.9999999999998,Bnord,nan,nan,Nedrivning og bortskaffelse,nan,nan,nan,nan,1609.9999999999998,nan
nan,"Nedrivning af brusevæg, stål og glasbyggesten",12477.499999999998,2,nan,nan,nan,402.49999999999994,nan,nan,,804.9999999999999,Bnord,nan,nan,Nedrivning og bortskaffelse,nan,nan,nan,nan,804.9999999999999,nan
nan,Nedrivning af rørkasse,12477.499999999998,2,nan,nan,nan,402.49999999999994,nan,nan,,804.9999999999999,Bnord,nan,nan,Nedrivning og bortskaffelse,nan,nan,nan,nan,804.9999999999999,nan
nan,Nedbankning af fliser på væg,12477.499999999998,4,nan,nan,nan,402.49999999999994,nan,nan,,1609.9999999999998,Bnord,nan,nan,Nedrivning og bortskaffelse,nan,nan,nan,nan,1609.9999999999998,nan
nan,Opbankning af gulv og fjernelse af gammel gulvvarme,12477.499999999998,14,nan,nan,nan,402.49999999999994,nan,nan,,5634.999999999999,Bnord,nan,nan,Nedrivning og bortskaffelse,nan,nan,nan,nan,5634.999999999999,nan
nan,Nedtagning af alt inventar på badeværelset,12477.499999999998,2,nan,nan,nan,402.49999999999994,nan,nan,,804.9999999999999,Bnord,nan,nan,Nedrivning og bortskaffelse,nan,nan,nan,nan,804.9999999999999,nan
nan,Nedrivning af brystning under vindue så vi kan få mere plads,12477.499999999998,3,nan,nan,nan,402.49999999999994,nan,nan,,1207.4999999999998,Bnord,nan,nan,Nedrivning og bortskaffelse,nan,nan,nan,nan,1207.4999999999998,nan
nan,Opretning af vægge med puds,70970,15,nan,nan,nan,585,nan,nan,,9275,Bnord,nan,nan,Murer,425,nan,nan,nan,9275.0,0.15
nan,Opmuring af 1 gasbeton vinger ved VM og TT,70970,6,nan,nan,nan,585,nan,nan,,3960,Bnord,nan,nan,Murer,382.5,nan,nan,nan,3960.0,0.15
nan,"Ombygning af niche ved VM og TT til shampoohylde, gasbeton",70970,4,nan,nan,nan,585,nan,nan,,2640,Bnord,nan,nan,Murer,255,nan,nan,nan,2640.0,0.15
nan,"Påfyldning af 4-kant så brusenichen bliver regulær, gasbeton ",70970,3,nan,nan,nan,585,nan,nan,,2055,Bnord,nan,nan,Murer,255,nan,nan,nan,2055.0,0.15
nan,Lukning af gennemstøbning mod kælder og evt. rørføreing,70970,3,nan,nan,nan,585,nan,nan,,1955,Bnord,nan,nan,Murer,170,nan,nan,nan,1955.0,0.15
nan,Opretning af vinduesfalse når brystning fjernes,70970,2,nan,nan,nan,585,nan,nan,,1370,Bnord,nan,nan,Murer,170,nan,nan,nan,1370.0,0.15
nan,Udlægning af armeringsnet og støbning af gulv,70970,15,nan,nan,nan,585,nan,nan,,12075,Bnord,nan,nan,Murer,2805,nan,nan,nan,12075.0,0.15
nan,Vådrums membran,70970,6,nan,nan,nan,585,nan,nan,,5910,Bnord,nan,nan,Murer,2040,nan,nan,nan,5910.0,0.15
nan,Opsætning af fliser i bruseniche,70970,15,nan,nan,nan,585,nan,nan,,9575,Bnord,nan,nan,Murer,680,nan,nan,nan,9575.0,0.15
nan,Fliser i Shampoohylde,70970,4,nan,nan,nan,585,nan,nan,,2540,Bnord,nan,nan,Murer,170,nan,nan,nan,2540.0,0.15
nan,"Opsætning af sokkelklinker og gulvklinker (7,5 m2+20%) og (12 lbm+20%)",70970,12,nan,nan,nan,585,nan,nan,,7420,Bnord,nan,nan,Murer,340,nan,nan,nan,7420.0,0.15
nan,"Indkøb af fliser, klinker og sokkelklinker (Afsat beløb 6.000 Kr)",70970,nan,nan,nan,nan,nan,nan,nan,,6900,Bnord,nan,nan,Murer,6000,nan,nan,nan,6900.0,0.15
nan,Fugning af hårde og bløde fuger,70970,7,nan,nan,nan,585,nan,nan,,5295,Bnord,nan,nan,Murer,1020,nan,nan,nan,5295.0,0.15
nan,Det forudsætes at gulv under fliser er et støbt gulv.,70970,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,Murer,nan,nan,nan,nan,,nan
nan,Opsætning af ny rørkasse omkring faldstamme,30340,5,nan,nan,nan,585,nan,nan,,3525,Bnord,nan,nan,Tømrer,510,nan,nan,nan,3525.0,0.15
nan,Opsætning af nyt nedhængt gipsloft,30340,20,nan,nan,nan,585,nan,nan,,12900,Bnord,nan,nan,Tømrer,1020,nan,nan,nan,12900.0,0.15
nan,Opsætning af cisternestativ med topplade i gips,30340,6,nan,nan,nan,585,nan,nan,,4010,Bnord,nan,nan,Tømrer,425,nan,nan,nan,4010.0,0.15
